person,cant_checkouts_5,%checkouts,checkouts_ult_semana,act_primera_semana,act_ultima_semana,mayor_actividad_ult_semana,cant_modelos_distintos,cant_checkouts_dif_modelos,MAX(cant_interacciones_por_modelo),MEAN(cant_interacciones_por_modelo),Checkout max,Checkout mean,cant_lead_5to_mes,cant_modelos_que_consulto_stock
fc278339,1.0,0.8403361344537815,0.0,14.0,0.0,0,20.0,1.0,9.0,2.4,1.0,1.0,0.0,0.0
e45acd53,12.0,2.891566265060241,5.0,0.0,165.0,1,22.0,4.0,127.0,11.136363636363637,7.0,3.0,0.0,0.0
7d876393,3.0,0.8982035928143712,0.0,9.0,0.0,0,23.0,1.0,27.0,9.826086956521738,3.0,3.0,0.0,0.0
f5af843f,3.0,1.345291479820628,0.0,0.0,7.0,1,15.0,2.0,22.0,6.466666666666667,2.0,1.5,0.0,0.0
8f1679ff,2.0,2.5,0.0,0.0,2.0,1,5.0,1.0,11.0,4.2,2.0,2.0,0.0,0.0
5a724794,1.0,0.39370078740157477,0.0,0.0,20.0,1,21.0,1.0,86.0,6.142857142857143,1.0,1.0,0.0,0.0
c31d0174,2.0,1.1976047904191618,0.0,34.0,8.0,0,15.0,2.0,28.0,8.266666666666667,1.0,1.0,0.0,0.0
584f5175,25.0,3.0864197530864197,0.0,13.0,17.0,1,9.0,3.0,257.0,56.111111111111114,15.0,8.333333333333334,0.0,0.0
00091926,2.0,0.4464285714285714,0.0,33.0,19.0,0,36.0,1.0,96.0,10.38888888888889,2.0,2.0,0.0,0.0
911a21cb,0.0,0.0,0.0,0.0,8.0,1,4.0,0.0,12.0,4.5,0.0,0.0,0.0,0.0
16d0e27d,1.0,0.6211180124223602,0.0,16.0,0.0,0,25.0,1.0,18.0,5.56,1.0,1.0,0.0,0.0
55d1e0ee,2.0,1.7699115044247788,0.0,23.0,1.0,0,6.0,1.0,24.0,6.166666666666667,2.0,2.0,0.0,0.0
f87be219,1.0,9.090909090909092,0.0,0.0,0.0,0,2.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0
49c19e32,3.0,6.25,0.0,0.0,0.0,0,2.0,1.0,21.0,14.0,3.0,3.0,0.0,0.0
eb6c498c,10.0,1.0101010101010102,3.0,143.0,111.0,0,47.0,2.0,368.0,17.72340425531915,8.0,5.0,0.0,0.0
bb78c182,1.0,14.285714285714285,0.0,0.0,0.0,0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
e2bfe05f,1.0,8.333333333333332,0.0,0.0,0.0,0,2.0,1.0,8.0,4.5,1.0,1.0,0.0,0.0
e6c21c98,1.0,2.5,0.0,0.0,0.0,0,9.0,1.0,7.0,2.3333333333333335,1.0,1.0,0.0,0.0
83f6fb70,3.0,1.6666666666666667,0.0,0.0,11.0,1,5.0,1.0,103.0,26.6,3.0,3.0,0.0,0.0
0e9d0ae2,1.0,3.571428571428571,0.0,0.0,0.0,0,3.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0
cb68850c,1.0,6.25,0.0,0.0,0.0,0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
f30ef764,1.0,3.8461538461538463,0.0,0.0,0.0,0,2.0,1.0,9.0,6.0,1.0,1.0,0.0,0.0
ca5fa859,1.0,3.571428571428571,0.0,0.0,0.0,0,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0
4f06f2dd,1.0,2.2222222222222223,0.0,0.0,0.0,0,15.0,1.0,16.0,2.1333333333333333,1.0,1.0,0.0,0.0
872d9b83,0.0,0.0,0.0,22.0,44.0,1,8.0,0.0,38.0,11.75,0.0,0.0,0.0,0.0
dca7e4fa,1.0,1.1111111111111112,0.0,0.0,0.0,0,6.0,1.0,23.0,10.333333333333334,1.0,1.0,0.0,0.0
18489dd5,10.0,0.6397952655150352,2.0,0.0,369.0,1,40.0,6.0,182.0,26.5,3.0,1.6666666666666667,0.0,0.0
f389e5ef,1.0,1.3333333333333335,0.0,0.0,0.0,0,11.0,1.0,18.0,6.0,1.0,1.0,0.0,0.0
566b70c7,1.0,16.666666666666664,0.0,0.0,0.0,0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
3cb2bfc5,1.0,4.166666666666666,0.0,0.0,0.0,0,7.0,1.0,3.0,1.7142857142857142,1.0,1.0,0.0,0.0
0ec008ff,0.0,0.0,0.0,9.0,102.0,1,35.0,0.0,9.0,2.3714285714285714,0.0,0.0,0.0,0.0
19876c5b,3.0,2.027027027027027,0.0,0.0,0.0,0,5.0,2.0,49.0,21.6,2.0,1.5,0.0,0.0
47710d5d,2.0,1.0309278350515463,0.0,0.0,0.0,0,31.0,2.0,47.0,4.419354838709677,1.0,1.0,0.0,0.0
36606944,1.0,1.4492753623188406,0.0,0.0,5.0,1,4.0,1.0,41.0,12.25,1.0,1.0,0.0,0.0
3c36c384,1.0,3.125,0.0,4.0,0.0,0,7.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0
25ec69e5,1.0,5.555555555555555,0.0,0.0,0.0,0,2.0,1.0,7.0,4.0,1.0,1.0,0.0,0.0
02a9fd4c,3.0,9.375,1.0,0.0,6.0,1,2.0,2.0,8.0,7.5,2.0,1.5,0.0,0.0
77edab49,1.0,20.0,0.0,0.0,0.0,0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
e9c847d7,1.0,1.9230769230769231,0.0,0.0,3.0,1,5.0,1.0,18.0,5.4,1.0,1.0,0.0,0.0
cf26e7dd,1.0,2.3255813953488373,0.0,0.0,0.0,0,5.0,1.0,12.0,4.8,1.0,1.0,0.0,0.0
8f7d334b,1.0,0.9259259259259258,0.0,0.0,0.0,0,21.0,1.0,13.0,4.095238095238095,1.0,1.0,0.0,0.0
fd683087,5.0,1.9762845849802373,3.0,33.0,29.0,0,20.0,2.0,52.0,9.35,3.0,2.5,0.0,0.0
aa5593bc,6.0,5.042016806722689,0.0,0.0,0.0,0,6.0,2.0,33.0,12.333333333333334,4.0,3.0,0.0,0.0
2f628db1,0.0,0.0,0.0,79.0,27.0,0,9.0,0.0,204.0,26.444444444444443,0.0,0.0,0.0,0.0
e39a4b4f,4.0,4.545454545454546,0.0,0.0,0.0,0,19.0,1.0,31.0,4.105263157894737,4.0,4.0,0.0,0.0
b6ff254a,2.0,5.263157894736842,0.0,0.0,0.0,0,3.0,1.0,18.0,7.333333333333333,2.0,2.0,0.0,0.0
8aeb37ef,7.0,7.608695652173914,0.0,37.0,0.0,0,8.0,2.0,18.0,5.375,5.0,3.5,0.0,0.0
4030bc9c,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,1.6666666666666667,0.0,0.0,0.0,0.0
78c4ca18,2.0,5.263157894736842,0.0,35.0,0.0,0,6.0,2.0,5.0,2.5,1.0,1.0,0.0,0.0
0204dcec,1.0,2.631578947368421,0.0,0.0,0.0,0,2.0,1.0,16.0,8.5,1.0,1.0,0.0,0.0
99c11fb0,0.0,0.0,0.0,102.0,26.0,0,23.0,0.0,74.0,12.173913043478262,0.0,0.0,0.0,0.0
d383e068,0.0,0.0,0.0,0.0,0.0,0,16.0,0.0,2.0,1.125,0.0,0.0,0.0,0.0
c76b8417,8.0,0.26420079260237783,1.0,1882.0,72.0,0,77.0,6.0,177.0,11.909090909090908,3.0,1.3333333333333333,0.0,0.0
5cc1dc20,1.0,16.666666666666664,0.0,0.0,0.0,0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
17c183c9,2.0,2.0202020202020203,0.0,0.0,0.0,0,16.0,1.0,7.0,2.3125,2.0,2.0,0.0,0.0
b51c3897,1.0,1.25,1.0,0.0,80.0,1,12.0,1.0,24.0,4.583333333333333,1.0,1.0,0.0,0.0
49013e40,5.0,2.717391304347826,5.0,0.0,184.0,1,16.0,2.0,50.0,6.1875,4.0,2.5,0.0,0.0
18ad1f7c,1.0,0.8547008547008548,0.0,13.0,25.0,1,9.0,1.0,30.0,10.555555555555555,1.0,1.0,0.0,0.0
ea679233,0.0,0.0,0.0,0.0,73.0,1,5.0,0.0,32.0,13.0,0.0,0.0,0.0,0.0
1b373281,1.0,2.0408163265306123,1.0,9.0,31.0,1,12.0,1.0,15.0,2.6666666666666665,1.0,1.0,0.0,0.0
39df97e0,4.0,4.301075268817205,4.0,0.0,93.0,1,10.0,2.0,14.0,3.8,3.0,2.0,0.0,0.0
d471ab7a,4.0,0.9950248756218906,2.0,0.0,137.0,1,50.0,3.0,78.0,7.36,2.0,1.3333333333333333,0.0,0.0
4473cb91,2.0,15.384615384615385,2.0,0.0,8.0,1,2.0,1.0,5.0,4.0,2.0,2.0,0.0,0.0
a90bb821,3.0,1.5151515151515151,1.0,0.0,107.0,1,12.0,3.0,16.0,3.6666666666666665,1.0,1.0,0.0,0.0
66f3c5a8,1.0,2.272727272727273,0.0,0.0,10.0,1,7.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0
dedf1377,1.0,0.78125,1.0,0.0,128.0,1,16.0,1.0,36.0,7.1875,1.0,1.0,0.0,0.0
6972936f,1.0,1.9230769230769231,0.0,8.0,33.0,1,4.0,1.0,11.0,4.0,1.0,1.0,0.0,0.0
f484e20b,0.0,0.0,0.0,0.0,15.0,1,6.0,0.0,7.0,2.1666666666666665,0.0,0.0,0.0,0.0
78a17666,5.0,3.5211267605633805,5.0,0.0,134.0,1,13.0,1.0,74.0,7.384615384615385,5.0,5.0,0.0,0.0
bb5c496a,1.0,0.6993006993006993,1.0,18.0,65.0,1,7.0,1.0,46.0,12.428571428571429,1.0,1.0,0.0,0.0
fa15dd75,8.0,1.5238095238095237,1.0,85.0,133.0,1,8.0,2.0,149.0,41.25,7.0,4.0,0.0,0.0
8036d563,1.0,8.333333333333332,0.0,0.0,3.0,1,2.0,1.0,4.0,2.5,1.0,1.0,0.0,0.0
051b11a7,2.0,4.166666666666666,2.0,0.0,42.0,1,5.0,1.0,17.0,4.4,2.0,2.0,0.0,0.0
a708f6b7,3.0,16.666666666666664,1.0,0.0,5.0,1,2.0,1.0,8.0,4.5,3.0,3.0,0.0,0.0
aa86dd13,2.0,0.8771929824561403,0.0,0.0,91.0,1,35.0,1.0,22.0,4.942857142857143,2.0,2.0,0.0,0.0
8af64425,1.0,0.3134796238244514,1.0,6.0,223.0,1,24.0,1.0,44.0,6.125,1.0,1.0,0.0,0.0
290a4ade,1.0,1.1235955056179776,1.0,0.0,44.0,1,10.0,1.0,25.0,6.8,1.0,1.0,0.0,0.0
5ea8fd22,1.0,2.272727272727273,1.0,0.0,44.0,1,6.0,1.0,25.0,6.5,1.0,1.0,0.0,0.0
73f02c61,2.0,0.78125,2.0,0.0,160.0,1,11.0,2.0,66.0,12.727272727272727,1.0,1.0,0.0,0.0
e6b2354d,7.0,14.285714285714285,7.0,0.0,49.0,1,4.0,1.0,19.0,6.5,7.0,7.0,0.0,0.0
b364ac0f,2.0,1.7391304347826086,2.0,0.0,115.0,1,23.0,1.0,27.0,4.695652173913044,2.0,2.0,0.0,0.0
27c4deeb,2.0,4.3478260869565215,2.0,0.0,46.0,1,8.0,2.0,15.0,4.125,1.0,1.0,0.0,0.0
575ad645,1.0,0.3663003663003663,0.0,84.0,15.0,0,3.0,1.0,111.0,54.666666666666664,1.0,1.0,0.0,0.0
380c0e60,9.0,6.61764705882353,6.0,6.0,43.0,1,7.0,1.0,52.0,9.714285714285714,9.0,9.0,0.0,0.0
6b90483e,2.0,40.0,2.0,0.0,5.0,1,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0
cd9179bb,6.0,3.7037037037037033,6.0,0.0,134.0,1,8.0,1.0,51.0,10.5,6.0,6.0,0.0,0.0
1a8f3e6d,3.0,2.380952380952381,3.0,0.0,126.0,1,23.0,3.0,15.0,2.6956521739130435,1.0,1.0,0.0,0.0
d95f3759,3.0,2.0689655172413794,3.0,0.0,122.0,1,8.0,1.0,48.0,10.0,3.0,3.0,0.0,0.0
df151fff,0.0,0.0,0.0,0.0,11.0,1,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0
68939997,1.0,0.5376344086021506,1.0,0.0,186.0,1,27.0,1.0,18.0,2.5925925925925926,1.0,1.0,0.0,0.0
a6c7358d,1.0,0.3289473684210526,1.0,0.0,211.0,1,17.0,1.0,28.0,6.411764705882353,1.0,1.0,0.0,0.0
75aea7ed,1.0,2.7027027027027026,1.0,0.0,37.0,1,8.0,1.0,7.0,2.875,1.0,1.0,0.0,0.0
57a26b97,2.0,0.6711409395973155,2.0,0.0,290.0,1,20.0,2.0,74.0,12.85,1.0,1.0,0.0,0.0
68bee360,5.0,2.380952380952381,0.0,17.0,29.0,1,14.0,2.0,46.0,11.571428571428571,4.0,2.5,0.0,0.0
e6b78c34,10.0,2.1929824561403506,10.0,0.0,406.0,1,17.0,2.0,93.0,14.705882352941176,7.0,5.0,0.0,0.0
e4d9f5e2,1.0,12.5,1.0,0.0,8.0,1,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0
7363f782,2.0,0.9216589861751152,1.0,0.0,139.0,1,19.0,2.0,35.0,8.789473684210526,1.0,1.0,0.0,0.0
5f5a1be2,1.0,1.0869565217391304,1.0,0.0,92.0,1,27.0,1.0,14.0,2.8518518518518516,1.0,1.0,0.0,0.0
2fa65383,1.0,2.7027027027027026,0.0,0.0,12.0,1,3.0,1.0,7.0,5.333333333333333,1.0,1.0,0.0,0.0
f2ab91ec,1.0,1.3333333333333335,1.0,0.0,62.0,1,5.0,1.0,26.0,6.6,1.0,1.0,0.0,0.0
f7e13865,6.0,3.0,0.0,0.0,13.0,1,7.0,4.0,26.0,8.142857142857142,2.0,1.5,0.0,0.0
f70a331b,1.0,1.3157894736842104,1.0,0.0,33.0,1,15.0,1.0,13.0,2.8,1.0,1.0,0.0,0.0
49fffa02,0.0,0.0,0.0,0.0,11.0,1,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
69fe770b,2.0,6.666666666666667,2.0,0.0,30.0,1,4.0,2.0,12.0,6.75,1.0,1.0,0.0,0.0
73b5ddeb,5.0,1.1013215859030838,3.0,49.0,322.0,1,9.0,2.0,117.0,33.0,4.0,2.5,4.0,1.0
26855b91,4.0,6.896551724137931,4.0,0.0,54.0,1,5.0,1.0,27.0,9.0,4.0,4.0,0.0,0.0
fadfa4be,0.0,0.0,0.0,2.0,132.0,1,40.0,0.0,121.0,10.4,0.0,0.0,0.0,0.0
85b68a3f,9.0,42.857142857142854,9.0,0.0,21.0,1,1.0,1.0,16.0,16.0,9.0,9.0,0.0,0.0
3aae4375,3.0,3.571428571428571,0.0,6.0,20.0,1,10.0,1.0,13.0,6.1,3.0,3.0,0.0,0.0
10206a98,1.0,25.0,1.0,0.0,4.0,1,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
66fe40df,1.0,2.380952380952381,1.0,0.0,42.0,1,6.0,1.0,4.0,1.8333333333333333,1.0,1.0,0.0,0.0
2beddf66,1.0,4.545454545454546,1.0,0.0,22.0,1,4.0,1.0,4.0,2.75,1.0,1.0,0.0,0.0
b2194067,0.0,0.0,0.0,20.0,20.0,1,4.0,0.0,8.0,4.75,0.0,0.0,0.0,0.0
b3cab894,1.0,2.1739130434782608,1.0,0.0,35.0,1,6.0,1.0,11.0,3.1666666666666665,1.0,1.0,0.0,0.0
17b858f9,1.0,2.3255813953488373,1.0,0.0,43.0,1,13.0,1.0,5.0,2.1538461538461537,1.0,1.0,0.0,0.0
f75b14e8,2.0,8.333333333333332,2.0,4.0,20.0,1,1.0,1.0,15.0,15.0,2.0,2.0,0.0,0.0
67ec6a13,0.0,0.0,0.0,0.0,18.0,1,13.0,0.0,6.0,1.7692307692307692,0.0,0.0,0.0,0.0
448ec8f9,2.0,15.384615384615385,1.0,0.0,4.0,1,2.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0
83e7b706,2.0,1.092896174863388,2.0,10.0,27.0,1,13.0,1.0,65.0,10.307692307692308,2.0,2.0,0.0,0.0
7f198108,1.0,2.4390243902439024,1.0,0.0,41.0,1,2.0,1.0,13.0,9.0,1.0,1.0,0.0,0.0
65db54a5,1.0,1.9230769230769231,1.0,0.0,52.0,1,3.0,1.0,15.0,10.0,1.0,1.0,0.0,0.0
adaa9274,0.0,0.0,0.0,0.0,12.0,1,4.0,0.0,7.0,3.25,0.0,0.0,0.0,0.0
2466dcee,0.0,0.0,0.0,0.0,18.0,1,6.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0
bbac557c,1.0,1.1494252873563218,1.0,0.0,87.0,1,9.0,1.0,21.0,7.0,1.0,1.0,0.0,0.0
571a9f5c,1.0,2.857142857142857,1.0,9.0,16.0,1,4.0,1.0,7.0,4.25,1.0,1.0,0.0,0.0
13587a1e,1.0,2.4390243902439024,0.0,0.0,5.0,1,5.0,1.0,13.0,5.4,1.0,1.0,0.0,0.0
feeb5b65,1.0,0.6711409395973155,1.0,0.0,141.0,1,5.0,1.0,57.0,23.6,1.0,1.0,0.0,0.0
57d078f9,0.0,0.0,0.0,6.0,21.0,1,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
6791adff,2.0,5.128205128205128,2.0,0.0,39.0,1,9.0,1.0,8.0,3.2222222222222223,2.0,2.0,0.0,0.0
2596d1cf,1.0,5.0,1.0,0.0,20.0,1,1.0,1.0,16.0,16.0,1.0,1.0,0.0,0.0
0b54d2aa,4.0,1.1494252873563218,3.0,105.0,143.0,1,31.0,3.0,79.0,7.774193548387097,2.0,1.3333333333333333,0.0,0.0
c0d67259,0.0,0.0,0.0,0.0,26.0,1,9.0,0.0,5.0,1.5555555555555556,0.0,0.0,0.0,0.0
2fca45c7,6.0,5.405405405405405,2.0,4.0,40.0,1,13.0,3.0,11.0,3.5384615384615383,3.0,2.0,0.0,0.0
eb39eec0,1.0,0.8771929824561403,1.0,10.0,11.0,1,9.0,1.0,40.0,7.222222222222222,1.0,1.0,0.0,0.0
3d52f0ca,4.0,10.81081081081081,3.0,0.0,24.0,1,2.0,1.0,16.0,10.0,4.0,4.0,0.0,0.0
ee7d1909,1.0,1.8867924528301887,1.0,0.0,53.0,1,4.0,1.0,16.0,6.0,1.0,1.0,0.0,0.0
9474919f,1.0,16.666666666666664,1.0,0.0,6.0,1,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
b87bf3c0,6.0,3.2432432432432434,0.0,35.0,39.0,1,19.0,1.0,61.0,7.842105263157895,6.0,6.0,0.0,0.0
229a0726,4.0,8.333333333333332,3.0,0.0,27.0,1,2.0,2.0,12.0,9.0,3.0,2.0,0.0,0.0
e28fa553,2.0,0.5089058524173028,2.0,0.0,393.0,1,29.0,1.0,110.0,8.724137931034482,2.0,2.0,0.0,0.0
e2d69e04,1.0,1.0869565217391304,1.0,0.0,92.0,1,15.0,1.0,22.0,5.0,1.0,1.0,0.0,0.0
f99328eb,1.0,0.3472222222222222,1.0,0.0,288.0,1,42.0,1.0,30.0,5.642857142857143,1.0,1.0,0.0,0.0
7a98e5bb,1.0,5.0,1.0,0.0,20.0,1,5.0,1.0,4.0,1.8,1.0,1.0,0.0,0.0
99a29f1c,2.0,1.4705882352941175,1.0,31.0,35.0,1,4.0,1.0,49.0,17.75,2.0,2.0,0.0,0.0
6f4de109,12.0,2.4489795918367347,5.0,0.0,208.0,1,42.0,5.0,37.0,8.285714285714286,3.0,2.4,0.0,0.0
ad8cebac,2.0,1.639344262295082,2.0,0.0,122.0,1,17.0,1.0,14.0,2.9411764705882355,2.0,2.0,0.0,0.0
60d720a3,1.0,7.6923076923076925,1.0,0.0,13.0,1,2.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0
8f6d708a,1.0,1.5151515151515151,1.0,0.0,46.0,1,4.0,1.0,16.0,5.75,1.0,1.0,0.0,0.0
8d8b76a6,3.0,14.285714285714285,3.0,0.0,21.0,1,5.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0
4157ce5c,1.0,2.7027027027027026,0.0,0.0,14.0,1,6.0,1.0,9.0,3.6666666666666665,1.0,1.0,0.0,0.0
3fd161b1,0.0,0.0,0.0,23.0,12.0,0,5.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0
91a293e8,1.0,1.282051282051282,1.0,3.0,59.0,1,13.0,1.0,5.0,1.9230769230769231,1.0,1.0,0.0,0.0
54e0c518,1.0,0.8695652173913043,1.0,0.0,115.0,1,14.0,1.0,9.0,3.0714285714285716,1.0,1.0,0.0,0.0
1d389b2e,1.0,12.5,1.0,0.0,8.0,1,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0
ad4976a0,1.0,1.4705882352941175,1.0,0.0,64.0,1,8.0,1.0,19.0,7.0,1.0,1.0,0.0,0.0
dbff7610,2.0,3.389830508474576,2.0,0.0,53.0,1,4.0,1.0,15.0,5.25,2.0,2.0,0.0,0.0
c104bc78,4.0,1.5267175572519083,0.0,0.0,70.0,1,10.0,3.0,14.0,4.7,2.0,1.3333333333333333,0.0,0.0
b3bf2435,11.0,4.621848739495799,9.0,0.0,204.0,1,16.0,3.0,35.0,5.875,6.0,3.6666666666666665,0.0,0.0
7a1b40b7,1.0,4.0,1.0,0.0,25.0,1,2.0,1.0,9.0,7.0,1.0,1.0,0.0,0.0
8611216e,4.0,1.7094017094017095,4.0,28.0,202.0,1,6.0,2.0,54.0,20.166666666666668,3.0,2.0,0.0,0.0
560e7db4,5.0,4.545454545454546,5.0,0.0,110.0,1,12.0,3.0,31.0,7.833333333333333,3.0,1.6666666666666667,0.0,0.0
2454293c,1.0,1.1111111111111112,1.0,0.0,82.0,1,5.0,1.0,8.0,3.8,1.0,1.0,0.0,0.0
0af42006,0.0,0.0,0.0,0.0,21.0,1,17.0,0.0,21.0,4.705882352941177,0.0,0.0,0.0,0.0
82d31364,1.0,0.9345794392523363,1.0,0.0,103.0,1,9.0,1.0,39.0,8.0,1.0,1.0,0.0,0.0
1a898f43,1.0,14.285714285714285,1.0,0.0,7.0,1,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
f1f2d6aa,1.0,1.7543859649122806,1.0,31.0,26.0,0,3.0,1.0,12.0,5.0,1.0,1.0,0.0,0.0
f16503b1,1.0,1.639344262295082,1.0,0.0,61.0,1,4.0,1.0,15.0,7.0,1.0,1.0,0.0,0.0
45a66d74,3.0,1.0135135135135136,0.0,0.0,89.0,1,24.0,2.0,28.0,6.666666666666667,2.0,1.5,0.0,0.0
45599974,7.0,4.046242774566474,3.0,28.0,47.0,1,17.0,4.0,19.0,4.411764705882353,3.0,1.75,0.0,0.0
b8112306,1.0,6.25,1.0,0.0,16.0,1,1.0,1.0,10.0,10.0,1.0,1.0,0.0,0.0
7e317918,1.0,3.8461538461538463,1.0,0.0,26.0,1,2.0,1.0,9.0,6.5,1.0,1.0,0.0,0.0
