person,modelo_mas_visitado,region_persona,pais,evento_predominante_mes_5,semana_mas_interactuante,device_type,channel_frecuente
a708f6b7,Samsung Galaxy S6 Edge,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
aa86dd13,Samsung Galaxy A5 2017,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
8af64425,Motorola Moto G3 HDTV,Rio de Janeiro,Brazil,viewed product,Fifth,Computer,Referral
290a4ade,iPhone 5s,Sao Paulo,Brazil,viewed product,Fourth,Computer,Direct
5ea8fd22,Samsung Galaxy S6 Edge,Goias,Brazil,viewed product,Fourth,Smartphone,Referral
73f02c61,iPhone 5s,Unknown,Brazil,viewed product,Fifth,Smartphone,Direct
e6b2354d,Samsung Galaxy S8 Plus,Federal District,Brazil,viewed product,Fifth,Smartphone,Direct
b364ac0f,Samsung Galaxy S7 Edge,Sao Paulo,Brazil,viewed product,Fifth,Computer,Direct
27c4deeb,iPhone 4S,Federal District,Brazil,viewed product,Fifth,Smartphone,Paid
575ad645,iPhone SE,Rio Grande do Sul,Brazil,viewed product,First,Computer,Organic
380c0e60,Samsung Galaxy Note 5,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
6b90483e,Samsung Galaxy J2 Prime TV,Rio de Janeiro,Brazil,checkout,Fifth,Computer,Organic
cd9179bb,iPhone 5s,Bahia,Brazil,viewed product,Fifth,Smartphone,Paid
1a8f3e6d,Samsung Galaxy J7 Prime,Paraíba,Brazil,viewed product,Fifth,Computer,Paid
d95f3759,iPhone 6,Piaui,Brazil,viewed product,Fifth,Computer,Paid
df151fff,iPhone 5s,Sao Paulo,Brazil,viewed product,Fifth,Computer,Organic
68939997,Samsung Galaxy J5,Bahia,Brazil,viewed product,Fifth,Smartphone,Organic
a6c7358d,Samsung Galaxy J7 Prime,Minas Gerais,Brazil,viewed product,Fourth,Smartphone,Paid
75aea7ed,Motorola Moto G4 Play DTV,Bahia,Brazil,viewed product,Fifth,Computer,Paid
57a26b97,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Fifth,Computer,Paid
68bee360,iPhone 6 Plus,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Referral
e6b78c34,Samsung Galaxy S6 Edge Plus,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
e4d9f5e2,Samsung Galaxy J3,Unknown,Brazil,viewed product,Fifth,Computer,Paid
7363f782,Samsung Galaxy S8,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
5f5a1be2,Lenovo Vibe A7010 Dual Chip,Sao Paulo,Brazil,viewed product,Fifth,Computer,Paid
2fa65383,Samsung Galaxy S6 Edge,Pernambuco,Brazil,viewed product,Fourth,Smartphone,Paid
f2ab91ec,iPhone 5s,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Organic
f7e13865,iPhone 6S Plus,Sao Paulo,Brazil,searched products,Third,Smartphone,Paid
f70a331b,Samsung Galaxy J7 Prime,Minas Gerais,Brazil,viewed product,Third,Computer,Paid
49fffa02,iPhone 6,Pernambuco,Brazil,viewed product,Fifth,Computer,Paid
69fe770b,iPhone 6S,Rio Grande do Sul,Brazil,viewed product,Fifth,Computer,Organic
73b5ddeb,iPhone 6S Plus,Minas Gerais,Brazil,viewed product,Fifth,Computer,Paid
26855b91,Samsung Galaxy S8,Santa Catarina,Brazil,viewed product,Fifth,Computer,Paid
fadfa4be,Motorola Moto G4 Plus,Rio de Janeiro,Brazil,viewed product,Third,Computer,Direct
85b68a3f,Motorola Moto G4 Play,Sao Paulo,Brazil,checkout,Fourth,Smartphone,Direct
3aae4375,iPhone 6S,Rio Grande do Sul,Brazil,viewed product,Fourth,Smartphone,Direct
10206a98,iPhone 7 Plus,Pernambuco,Brazil,visited site,Fifth,Smartphone,Paid
66fe40df,Samsung Galaxy Core Plus Duos TV,Unknown,Brazil,ad campaign hit,Fifth,Computer,Paid
2beddf66,Motorola Moto Z Play,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
b2194067,Motorola Moto E2 3G Dual,Bahia,Brazil,viewed product,First,Smartphone,Paid
b3cab894,iPhone 5s,Minas Gerais,Brazil,viewed product,Fourth,Computer,Paid
17b858f9,iPhone 6S,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
f75b14e8,iPhone 6S,Unknown,Unknown,viewed product,Fifth,Smartphone,Paid
67ec6a13,Samsung Galaxy J7 Prime,Minas Gerais,Brazil,brand listing,Third,Smartphone,Direct
448ec8f9,Samsung Galaxy J5,Unknown,Brazil,viewed product,Third,Smartphone,Paid
83e7b706,Samsung Galaxy S5 New Edition Duos ,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
7f198108,Samsung Galaxy S8,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
65db54a5,iPhone 6,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
adaa9274,Motorola Moto G5 Plus,Sao Paulo,Brazil,viewed product,Fifth,Computer,Paid
2466dcee,Samsung Galaxy S6 Flat,Espirito Santo,Brazil,viewed product,Fourth,Computer,Paid
bbac557c,iPhone 6S,Minas Gerais,Brazil,viewed product,Fifth,Smartphone,Referral
571a9f5c,iPhone 6S,Espirito Santo,Brazil,viewed product,Fifth,Smartphone,Referral
13587a1e,iPhone 6,Minas Gerais,Brazil,viewed product,Third,Smartphone,Organic
feeb5b65,iPhone 7 Plus,Maranhao,Brazil,viewed product,Fifth,Smartphone,Referral
57d078f9,Samsung Galaxy S8 Plus,Santa Catarina,Brazil,viewed product,Fourth,Computer,Direct
6791adff,Samsung Galaxy S8,Rio Grande do Norte,Brazil,viewed product,Fifth,Computer,Paid
2596d1cf,Samsung Galaxy S8,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
0b54d2aa,iPhone 6,Parana,Brazil,viewed product,Fifth,Computer,Direct
c0d67259,Motorola Moto X2,Maranhao,Brazil,viewed product,Fifth,Computer,Direct
2fca45c7,Samsung Galaxy Core 2 Duos,Unknown,Brazil,viewed product,Second,Smartphone,Paid
eb39eec0,Samsung Galaxy S7,Bahia,Brazil,viewed product,Second,Smartphone,Direct
3d52f0ca,iPhone 6 Plus,Amazonas,Brazil,viewed product,Fifth,Smartphone,Direct
ee7d1909,iPhone 6,Parana,Brazil,viewed product,Fifth,Computer,Direct
9474919f,Motorola Moto G5 ,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Email
b87bf3c0,iPhone 5s,Minas Gerais,Brazil,viewed product,Fifth,Smartphone,Direct
229a0726,iPhone 5s,Ontario,Canada,viewed product,Fourth,Smartphone,Organic
e28fa553,Samsung Galaxy A5 2017,Unknown,Brazil,viewed product,Fifth,Computer,Direct
e2d69e04,Motorola Moto G4 Play DTV,Sao Paulo,Brazil,viewed product,Fifth,Computer,Referral
f99328eb,Samsung Galaxy A5 2017,Pernambuco,Brazil,viewed product,Fifth,Computer,Referral
7a98e5bb,Samsung Galaxy J7 Prime,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
99a29f1c,iPhone 5s,Federal District,Brazil,viewed product,Fifth,Smartphone,Paid
6f4de109,Samsung Galaxy A5 2017,Parana,Brazil,viewed product,Third,Computer,Paid
ad8cebac,Motorola Moto G3 4G,Rio Grande do Norte,Brazil,viewed product,Fourth,Computer,Organic
60d720a3,LG K10 TV,Bahia,Brazil,viewed product,Fifth,Computer,Paid
8f6d708a,iPhone 6S,Bahia,Brazil,viewed product,Fifth,Smartphone,Paid
8d8b76a6,Samsung Galaxy S7 Edge,Ceara,Brazil,ad campaign hit,Fifth,Smartphone,Paid
4157ce5c,Samsung Galaxy S7 Edge,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Referral
3fd161b1,iPhone 5c,Unknown,Brazil,viewed product,First,Smartphone,Direct
91a293e8,Samsung Galaxy A5,Unknown,Brazil,viewed product,First,Computer,Paid
54e0c518,Samsung Galaxy S6 Edge Plus,Unknown,Canada,searched products,Fifth,Smartphone,Referral
1d389b2e,Samsung Galaxy J5,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
ad4976a0,Samsung Galaxy Note 3,Espirito Santo,Brazil,viewed product,Fifth,Computer,Paid
dbff7610,Samsung Galaxy S7,Rio Grande do Sul,Brazil,viewed product,Fifth,Computer,Paid
c104bc78,Samsung Galaxy J7 Prime,Unknown,Brazil,searched products,Second,Smartphone,Organic
b3bf2435,Samsung Galaxy Win Duos,Unknown,Unknown,viewed product,Fifth,Computer,Paid
7a1b40b7,Samsung Galaxy S6 Edge,Rio de Janeiro,Brazil,viewed product,Fifth,Computer,Paid
8611216e,iPhone 6,Bahia,Brazil,viewed product,Fifth,Smartphone,Paid
560e7db4,Samsung Galaxy J5,Unknown,Brazil,viewed product,Fifth,Smartphone,Direct
2454293c,iPhone 6S,Ceara,Brazil,searched products,Fourth,Smartphone,Referral
0af42006,Samsung Galaxy S7 Edge,Pernambuco,Brazil,viewed product,Second,Computer,Paid
82d31364,Samsung Galaxy J7 Prime,Unknown,Brazil,viewed product,Fourth,Computer,Paid
1a898f43,Samsung Galaxy J7,Rio de Janeiro,Brazil,viewed product,Fifth,Smartphone,Paid
f1f2d6aa,iPhone 6S,Sao Paulo,Brazil,brand listing,First,Computer,Paid
f16503b1,Samsung Galaxy S8,Unknown,Brazil,viewed product,Fifth,Computer,Paid
45a66d74,Motorola Moto X2,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Referral
45599974,iPhone 5s,Unknown,Brazil,viewed product,Fourth,Computer,Direct
b8112306,iPhone 6,Maranhao,Brazil,viewed product,Fifth,Computer,Organic
7e317918,Samsung Galaxy S7,Federal District,Brazil,viewed product,Fourth,Computer,Paid
5577775a,Motorola Moto G4 Plus,Unknown,Brazil,viewed product,Second,Computer,Paid
dd2ed1b6,Samsung Galaxy S8 Plus,Alagoas,Brazil,viewed product,Fifth,Computer,Paid
0fe5d58d,Motorola Moto G4 Play DTV,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Referral
a30504be,iPhone 4S,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
18a1de79,Samsung Galaxy S8 Plus,Bahia,Brazil,viewed product,Fourth,Computer,Paid
f88200f4,Samsung Galaxy S6 Edge,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
d180a63f,iPhone 5s,Rio Grande do Norte,Brazil,ad campaign hit,Fifth,Computer,Paid
97267956,Motorola Moto G3 4G,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Direct
2fec9bbc,iPhone 5s,Sao Paulo,Brazil,viewed product,Fifth,Computer,Social
c7fb76e9,Motorola Moto G2 4G Dual,Sergipe,Brazil,ad campaign hit,Fifth,Smartphone,Paid
05ad382c,Samsung Galaxy S7,Parana,Brazil,viewed product,Fifth,Computer,Paid
4e5d317d,iPhone 6,Rio de Janeiro,Brazil,viewed product,Fifth,Smartphone,Organic
db9e8233,Motorola Moto Z,Unknown,Brazil,viewed product,Fifth,Smartphone,Referral
7f721016,iPhone 5s,Unknown,Brazil,visited site,Fifth,Smartphone,Paid
b65be4d3,Motorola Moto G4 Plus,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Direct
aaed7b2e,Motorola Moto G5 Plus,Minas Gerais,Brazil,viewed product,Third,Smartphone,Referral
f8e37457,Samsung Galaxy J7 Prime,Santa Catarina,Brazil,viewed product,Fifth,Computer,Paid
9411a009,0,0,0,checkout,Fifth,Smartphone,Direct
166bf528,iPhone 6,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
5429fbb6,iPhone 6S,Federal District,Brazil,ad campaign hit,Fifth,Smartphone,Paid
fe1f24ff,Samsung Galaxy S7 Edge,Rondonia,Brazil,viewed product,Fourth,Computer,Paid
49ff6d6e,Samsung Galaxy S7 Edge,Bahia,Brazil,viewed product,Fifth,Computer,Paid
1adea052,iPhone 6S,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
0fe5b0f4,iPhone 4S,Mato Grosso,Brazil,viewed product,Fourth,Smartphone,Paid
19c94e0b,Samsung Galaxy A7 2017,Ceara,Brazil,viewed product,Fourth,Computer,Paid
2a727bb0,Samsung Galaxy J5,Rio de Janeiro,Brazil,visited site,Fifth,Computer,Referral
0ff75b46,iPhone 7,Unknown,Brazil,viewed product,Fifth,Computer,Paid
c7fba740,Samsung Galaxy J7 Prime,Sao Paulo,Brazil,viewed product,Fifth,Computer,Paid
224613bb,Samsung Galaxy S6 Edge,Rio Grande do Sul,Brazil,viewed product,Fifth,Computer,Organic
cd7b5c8e,iPhone 5s,Bahia,Brazil,viewed product,Fourth,Computer,Paid
179720f1,Samsung Galaxy S6 Flat,Rio Grande do Sul,Brazil,viewed product,Fifth,Computer,Organic
ff9a58dd,Samsung Galaxy S7,Unknown,Brazil,brand listing,Fourth,Computer,Referral
1070bca3,Samsung Galaxy S8 Plus,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
a5d31df5,Samsung Galaxy J7 Prime,Bahia,Brazil,viewed product,Fifth,Computer,Paid
4e5c868d,iPhone 5s,Unknown,Brazil,viewed product,Fifth,Smartphone,Organic
653f68fe,Motorola Moto G5 Plus,Sao Paulo,Brazil,viewed product,Fifth,Computer,Organic
3ebc771d,iPhone 6,Unknown,Brazil,viewed product,Fifth,Smartphone,Direct
c4012f15,iPhone 6,Santa Catarina,Brazil,viewed product,Fifth,Computer,Paid
517bf648,iPhone 7 Plus,Sao Paulo,Brazil,search engine hit,Fifth,Computer,Paid
254f8761,iPhone 5s,Sao Paulo,Brazil,viewed product,Second,Computer,Paid
043a4def,iPhone 6S,Rio de Janeiro,Brazil,viewed product,Fifth,Smartphone,Referral
ef68bea1,Samsung Galaxy J5,Unknown,Brazil,generic listing,Fourth,Smartphone,Paid
c844a662,iPhone 7 Plus,Sao Paulo,Brazil,viewed product,First,Smartphone,Direct
7f6c85e8,Samsung Galaxy A5 2017,Rio Grande do Sul,Brazil,searched products,Fifth,Smartphone,Direct
77397f7b,iPhone 5s,Maranhao,Brazil,viewed product,Fifth,Computer,Paid
e4aedddc,Samsung Galaxy S4 i9505,Sao Paulo,Brazil,viewed product,Fifth,Computer,Referral
35ee0cc8,Samsung Galaxy A5 2017,Unknown,Unknown,visited site,Fourth,Smartphone,Referral
4b66b31e,Samsung Galaxy Gran Neo Duos,Espirito Santo,Brazil,ad campaign hit,Fifth,Computer,Paid
125b4a32,0,0,0,checkout,Fifth,Smartphone,Paid
c1d99fe2,iPhone SE,Pernambuco,Brazil,viewed product,Fourth,Computer,Paid
1b2b8210,iPhone 6,Unknown,Brazil,visited site,Fifth,Computer,Organic
55fc24ef,Motorola Moto G5 ,Unknown,Brazil,viewed product,Fourth,Computer,Referral
77e489c7,Motorola Moto X Play 4G Dual,Sao Paulo,Brazil,brand listing,Third,Computer,Paid
62ba2fba,iPhone 5,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
ae4bfc26,Motorola Moto E2 4G Dual,Maranhao,Brazil,viewed product,Fifth,Smartphone,Referral
22f1d021,Motorola Moto G2 3G Dual,Unknown,Unknown,viewed product,Fifth,Computer,Direct
774cbcf2,Samsung Galaxy S7,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Direct
72368746,iPhone 5c,Bahia,Brazil,viewed product,Fifth,Computer,Organic
aca95b2b,iPhone 5s,Unknown,Brazil,visited site,Fifth,Computer,Paid
a944289b,iPhone 6,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
55e87de8,Samsung Galaxy Note 4,Unknown,Brazil,viewed product,Fifth,Computer,Direct
c56dff49,Samsung Galaxy J5,Unknown,Brazil,viewed product,Fifth,Smartphone,Paid
ba724fb6,iPhone 6,Parana,Brazil,viewed product,Second,Computer,Referral
b97b9d93,Samsung Galaxy S8,Parana,Brazil,viewed product,Fifth,Computer,Paid
46cacfef,iPhone 5s,Parana,Brazil,visited site,Fifth,Smartphone,Paid
14b6ab24,Samsung Galaxy S8,Unknown,Unknown,viewed product,Fifth,Smartphone,Paid
f1e00012,Samsung Galaxy S8 Plus,Unknown,Unknown,viewed product,Fourth,Smartphone,Paid
7025ac12,iPhone 7,Sao Paulo,Brazil,viewed product,Fourth,Smartphone,Paid
bada76d3,iPhone 5s,Santa Catarina,Brazil,brand listing,Fourth,Computer,Direct
70a325eb,Samsung Galaxy J7 Prime,Rio Grande do Sul,Brazil,viewed product,Second,Computer,Organic
fb19ca5a,iPhone 6S,Sao Paulo,Brazil,viewed product,Third,Unknown,Paid
f6cd21a1,iPhone 5s,Sao Paulo,Brazil,viewed product,Third,Computer,Paid
ed806b31,Samsung Galaxy J5,Unknown,France,viewed product,Fourth,Smartphone,Referral
91752493,Motorola Moto X Style,Santa Catarina,Brazil,checkout,Fifth,Smartphone,Paid
92059fdf,Samsung Galaxy J5,Sao Paulo,Brazil,ad campaign hit,Fifth,Smartphone,Paid
390f09f1,Samsung Galaxy J7 Prime,Rio Grande do Norte,Brazil,viewed product,Fifth,Computer,Direct
d9fc5677,Samsung Galaxy S3 Duos,Rio de Janeiro,Brazil,viewed product,Third,Smartphone,Paid
4d233ac6,iPhone 5s,Sao Paulo,Brazil,viewed product,Fifth,Smartphone,Paid
46a1efca,iPhone 6,Unknown,Brazil,viewed product,Fifth,Computer,Direct
