DAY(timestamp),MONTH(timestamp),WEEKDAY(timestamp),person
18,5,4,06340412
15,5,1,06377ced
27,5,6,063af87d
27,5,6,063c2027
22,5,1,06426e62
23,5,2,0645477e
16,5,2,06499837
28,5,0,064b8baf
27,5,6,064c6841
16,2,4,064e0d21
20,5,6,064e923d
31,5,3,064ec6ea
16,5,2,06568d8d
28,5,0,0656c4ea
31,5,3,065a50b6
31,5,3,065b0804
16,5,2,065b4fea
30,5,2,065d92a9
22,5,1,065ead15
31,5,3,065f4a95
16,5,2,065f9118
24,5,3,06627564
29,5,1,06698b9a
15,4,6,066a20aa
31,5,3,066b16ab
21,5,0,066cc592
27,2,1,066d8e1d
31,5,3,066e3023
22,5,1,0673c72a
16,5,2,06786046
22,5,1,06790571
26,5,5,067925f5
13,5,6,06793b28
27,5,6,067d0506
15,5,1,067f8d78
16,5,2,0680b00d
24,5,3,06817d0c
15,5,1,06818d49
29,5,1,06824520
30,5,2,068273dc
25,5,4,06848016
15,5,1,06872f0b
16,5,2,068925fa
30,5,2,06892aa4
28,5,0,0689e931
31,5,3,068af20b
29,5,1,068b6fbb
17,5,3,068b86b4
12,5,5,068b993a
20,5,6,068c6888
29,5,1,068f771c
28,5,0,06904f81
22,5,1,0694a7e5
31,5,3,0696724e
29,5,1,0697a4c2
30,5,2,06989c88
18,5,4,0699cd95
20,5,6,069a72e5
27,3,1,069af641
19,5,5,069b6014
31,5,3,069c5926
23,5,2,069cff7b
28,5,0,069dc6e8
25,5,4,069e9241
16,5,2,06a4dc8f
26,5,5,06a557be
18,5,4,06a762a5
23,5,2,06accde0
18,5,4,06ad410f
25,5,4,06aed509
4,5,4,06aeda65
29,5,1,06b00a11
27,5,6,06b1c34c
24,5,3,06b26eb2
19,5,5,06b27801
28,5,0,06b31ab4
25,5,4,06b3441e
24,5,3,06b6e768
25,5,4,06b9946b
17,5,3,06be1d9b
18,5,4,06c033ec
28,5,0,06c0a0d5
31,5,3,06c0db23
24,5,3,06c1e159
30,5,2,06c1fbb3
24,5,3,06c4d812
19,5,5,06c5a2ff
18,5,4,06c6384c
29,5,1,06c929c1
9,5,2,06caa05f
21,5,0,06cd617a
31,5,3,06cdc70f
17,5,3,06cea49d
26,5,5,06cea6ea
31,5,3,06d1d6c5
20,5,6,06d1dcaa
22,5,1,06d322d3
28,5,0,06d3a74d
23,5,2,06d450a7
30,5,2,06d54c8f
21,5,0,06d72f24
29,5,1,06d8c28c
30,5,2,06db4ca8
31,5,3,06dcde6c
27,5,6,06df0741
25,5,4,06df5403
18,5,4,06e43b24
19,5,5,06e4b8c8
30,5,2,06e55267
20,5,6,06e6349b
16,5,2,06ea2c68
31,5,3,06ed04d6
31,5,3,06eeb3e7
31,5,3,06ef2afb
24,5,3,06f206fe
31,5,3,06f39a3e
28,5,0,06f41e53
30,5,2,06f65cf4
27,4,4,06f6975e
29,5,1,06f953fe
27,5,6,06f9b57a
29,5,1,06fba151
20,4,4,06fcbc94
20,5,6,07082868
30,5,2,0709b7b5
19,5,5,070b29c0
25,5,4,070e6622
25,5,4,070e8c97
28,5,0,070f0eff
29,5,1,070f9a0b
20,5,6,07110547
18,5,4,071287f9
27,5,6,07129e4c
28,5,0,07136e35
18,4,2,0717754f
17,5,3,0718385a
22,5,1,071abc4f
26,4,3,071dabb9
22,5,1,071e2196
25,5,4,071e79e1
25,5,4,0720b80e
22,5,1,0720d357
29,5,1,0721ccda
29,5,1,072647a2
27,5,6,072a96a1
31,5,3,072ec6d2
21,5,0,07314959
26,5,5,0732ac8c
22,5,1,0734d99b
23,5,2,073c89dc
26,5,5,073cdd36
18,5,4,073e697a
20,5,6,073fd043
31,5,3,07420dec
30,5,2,0744ba92
27,5,6,074611db
22,5,1,07487d3e
23,5,2,07535fbd
18,5,4,0755e63e
31,5,3,0756e3ad
25,5,4,07572aeb
29,5,1,07578f08
28,5,0,075829e4
30,5,2,075851dd
29,5,1,0758bd0b
21,5,0,075b00a8
31,5,3,075c5198
31,5,3,075e85f8
21,5,0,075f8c45
21,2,2,07639dc4
31,5,3,0763d438
16,5,2,0765990d
29,5,1,076a4754
25,5,4,076b782d
28,5,0,076cf4cd
21,5,0,076d2903
31,5,3,07709f79
21,5,0,0773ee15
20,5,6,0774872c
26,5,5,0776c1f0
17,5,3,077ae831
31,5,3,077bd29b
31,5,3,077cd12c
18,5,4,077d3da7
30,5,2,077d4d9f
24,5,3,077e8564
31,5,3,07865fdb
30,5,2,07876886
27,5,6,07891a0d
30,5,2,078baec6
28,5,0,078bfbd3
26,5,5,07932a1f
26,5,5,0794d197
29,5,1,079532d3
23,5,2,079aeac7
23,5,2,079bdbe4
25,5,4,07a0af0b
28,5,0,07a39f46
30,5,2,07a578c6
29,5,1,07a60895
4,4,2,07a6b774
30,5,2,07a7e6be
26,5,5,07a887ed
29,5,1,07aabe67
30,5,2,07ab5c99
24,5,3,07ad7c88
28,5,0,07aff1c4
31,5,3,07b01d56
21,5,0,07b0a7a8
25,5,4,07b22fcb
30,5,2,07b2319f
21,5,0,07b331d6
22,5,1,07b7487d
27,5,6,07b7d242
27,5,6,07b89976
18,5,4,07b96270
24,5,3,07b99a01
17,5,3,07b9f8ae
24,5,3,07ba73bf
26,5,5,07c3a2da
24,5,3,07c4624f
31,5,3,07c8ebeb
29,5,1,07c9beeb
24,5,3,07ccd549
30,5,2,07cdc12c
21,5,0,07cde923
22,5,1,07cf3937
25,5,4,07d02c79
21,5,0,07d0810d
29,5,1,07d6e133
31,5,3,07d8c1ac
26,5,5,07db4e73
22,5,1,07dc9451
30,5,2,07e10e17
28,5,0,07e631f2
29,5,1,07e662e9
22,5,1,07e69681
23,5,2,07e6e71f
16,5,2,07e6f8c2
17,5,3,07ea5933
28,5,0,07eda19a
15,5,1,07f04dee
27,5,6,07f124fe
25,5,4,07f26ce1
23,5,2,07f2d434
20,5,6,07f40b00
29,5,1,07f42646
30,5,2,07f42a13
28,5,0,07f4c801
17,5,3,07f4fec1
29,5,1,07f5313a
